zad5.1
nazwisko_imie	kraj punkty
EISENBICHLER Markus Niemcy	117,1

zad5.2
Najmniej zawodnikow wystawionych:
nazwa	liczba
Estonia	1
Włochy	1
Bułgaria	1
Kanada	1
Najwiecej zawodnikow wystawionych:
Austria 15

zad5.3
Suma odl	nazwisko_imie		Kraj
5726,5	KOBAYASHI Ryoyu 	Japonia

zad5.4
nazwisko_imie	 	kraj  		punkty
KUBACKI Dawid	 	Polska		542
KOBAYASHI Ryoyu 	Japonia		538
JOHANSSON Robert	Norwegia		484
zad5.5
KOBAYASHI Ryoyu	, 189
zad5.6
miasto	nazwa	PoliczOfkod_skoczka
Wisła	Norwegia	4
Wisła	Austria	4
Wisła	Niemcy	4
Wisła	Polska	4
Wisła	Japonia	4
Wisła	Słowenia	4
Wisła	Rosja	3
Wisła	Szwajcaria	3
Zakopane	Norwegia	4
Zakopane	Finlandia	1
Zakopane	Kanada	1
Zakopane	Włochy	1
Zakopane	Austria	4
Zakopane	Niemcy	5
Zakopane	Polska	5
Zakopane	Japonia	4
Zakopane	Słowenia	5
Lahti	Norwegia	5
Lahti	Finlandia	1
Lahti	Kanada	1
Lahti	Austria	4
Lahti	Niemcy	5
Lahti	Polska	6
Lahti	Japonia	3
Lahti	Słowenia	4
Lahti	Szwajcaria	1
Willingen	Norwegia	5
Willingen	Kanada	1
Willingen	Bułgaria	1
Willingen	Austria	4
Willingen	Niemcy	3
Willingen	Polska	5
Willingen	Japonia	5
Willingen	Słowenia	3
Willingen	Rosja	1
Willingen	Szwajcaria	2
Klingenthal	Norwegia	4
Klingenthal	Finlandia	1
Klingenthal	Austria	5
Klingenthal	Niemcy	4
Klingenthal	Polska	6
Klingenthal	Japonia	4
Klingenthal	Słowenia	4
Klingenthal	Rosja	1
Klingenthal	Szwajcaria	1
Rasnov	Norwegia	4
Rasnov	Bułgaria	1
Rasnov	Austria	4
Rasnov	Niemcy	5
Rasnov	Polska	6
Rasnov	Japonia	2
Rasnov	Słowenia	4
Rasnov	Rosja	2
Rasnov	Szwajcaria	2
Predazzo	Norwegia	4
Predazzo	Finlandia	1
Predazzo	Czechy	1
Predazzo	Bułgaria	1
Predazzo	Austria	5
Predazzo	Niemcy	5
Predazzo	Polska	4
Predazzo	Japonia	3
Predazzo	Słowenia	4
Predazzo	Szwajcaria	2
